comparison,method,n_prompts,strict_change_rate,strict_wilson_lo,strict_wilson_hi,tie_disjoint_change_rate,tie_disjoint_wilson_lo,tie_disjoint_wilson_hi
anchoring_effect,best_pick,100,0.46,0.36560643853331865,0.5573531460647615,0.27,0.1926946091766482,0.3643230022623127
anchoring_effect,borda,100,0.39,0.300167219319702,0.48797163832501844,0.32,0.2366901081545688,0.4166280225367919
anchoring_effect,allocation,100,0.26,0.18404578126986462,0.35371172631861636,0.23,0.15843154746876406,0.32154564856827694
placebo_floor,best_pick,100,0.09,0.04807199516388488,0.16226374696643667,0.04,0.01566305055184801,0.09837217232607375
placebo_floor,borda,100,0.12,0.06999337365267776,0.19812268002908368,0.09,0.04807199516388488,0.16226374696643667
placebo_floor,allocation,100,0.1,0.05522854161313613,0.1743673043676654,0.08,0.04109296948581092,0.1499826687940307
visible_vs_placebo_same_seed,best_pick,100,0.45,0.3561437510640346,0.5475557296835656,0.26,0.18404578126986462,0.35371172631861636
visible_vs_placebo_same_seed,borda,100,0.38,0.2909744920013438,0.47790426179289663,0.32,0.2366901081545688,0.4166280225367919
visible_vs_placebo_same_seed,allocation,100,0.24,0.16691211265459965,0.3323251872329213,0.23,0.15843154746876406,0.32154564856827694
