comparison,n_ballots,any_polarity_change_rate,any_borda_change_rate,any_best_pick_change_rate,all_allocations_exact_same_rate,all_magnitudes_same_rate,mean_allocation_l1_change,median_allocation_l1_change
anchoring_effect,367,0.5803814713896458,0.7220708446866485,0.3542234332425068,0.08174386920980926,0.10354223433242507,0.5896457765667575,0.5
placebo_floor,367,0.22070844686648503,0.2452316076294278,0.04632152588555858,0.5667574931880109,0.5885558583106267,0.17384196185286105,0.0
visible_vs_placebo_same_seed,367,0.5912806539509536,0.7138964577656676,0.3460490463215259,0.0681198910081744,0.09536784741144415,0.6040871934604904,0.5
