target,test,kind,n_folds,mean_auc,std_auc,mean_r2,std_r2
voter_negative_mass,position_only,regression,5,,,-0.0016696491445064687,0.006576176874234595
voter_negative_mass,activation_plus_position,regression,5,,,0.09349284459984779,0.04782237415190768
voter_negative_mass,activation_layer,regression,5,,,0.09195128533209211,0.04856120666088307
voter_negative_mass,field_order_only,regression,5,,,0.011648489813889528,0.01029392423980009
voter_negative_mass,position_plus_field_order,regression,5,,,0.013006135375612193,0.0096325418739664
voter_negative_mass,activation_plus_field_order,regression,5,,,0.09243181281656368,0.04809513420097172
voter_negative_mass,activation_plus_position_plus_field_order,regression,5,,,0.09401639081624327,0.04736597958296912
voter_negative_mass,activation_layer_no_repair_ballots,regression,5,,,0.05187559337472523,0.07114853641880964
voter_signed_abs_share,position_only,regression,5,,,0.05545802084729619,0.03283594876936761
voter_signed_abs_share,activation_plus_position,regression,5,,,0.15212846688849008,0.07586333443548196
voter_signed_abs_share,activation_layer,regression,5,,,0.14784292988837158,0.0755007336010915
voter_signed_abs_share,field_order_only,regression,5,,,0.0,0.0
voter_signed_abs_share,position_plus_field_order,regression,5,,,0.05545802084729614,0.032835948769367594
voter_signed_abs_share,activation_plus_field_order,regression,5,,,0.14767713809330085,0.07524070526436172
voter_signed_abs_share,activation_plus_position_plus_field_order,regression,5,,,0.15198131416169366,0.07587480872705592
voter_signed_abs_share,activation_layer_no_repair_ballots,regression,5,,,0.10487128425364398,0.08317157645477072
voter_allocation_rank,position_only,regression,5,,,0.02837693646543864,0.02114472560757707
voter_allocation_rank,activation_plus_position,regression,5,,,0.24181705694807568,0.0648670156259518
voter_allocation_rank,activation_layer,regression,5,,,0.2391214907957723,0.06478757357305055
voter_allocation_rank,field_order_only,regression,5,,,0.0,0.0
voter_allocation_rank,position_plus_field_order,regression,5,,,0.028376936465438617,0.02114472560757708
voter_allocation_rank,activation_plus_field_order,regression,5,,,0.23905362890305967,0.06448645112337227
voter_allocation_rank,activation_plus_position_plus_field_order,regression,5,,,0.24196651613488482,0.06478435057077557
voter_allocation_rank,activation_layer_no_repair_ballots,regression,5,,,0.2331883486058052,0.07399222016091936
voter_borda_points,position_only,regression,5,,,0.06568347967600963,0.02936434553853129
voter_borda_points,activation_plus_position,regression,5,,,0.12747794178289404,0.055981589558469234
voter_borda_points,activation_layer,regression,5,,,0.12633072253088667,0.05612197547674836
voter_borda_points,field_order_only,regression,5,,,0.0,0.0
voter_borda_points,position_plus_field_order,regression,5,,,0.06568347967600963,0.02936434553853129
voter_borda_points,activation_plus_field_order,regression,5,,,0.12613375020161094,0.0558438659194327
voter_borda_points,activation_plus_position_plus_field_order,regression,5,,,0.12740962212446355,0.05584313922730855
voter_borda_points,activation_layer_no_repair_ballots,regression,5,,,0.08899977253447147,0.04434168925027072
voter_borda_points_centered,position_only,regression,5,,,0.06568347967600963,0.02936434553853129
