direction,direction_norm,layer,median_candidate_activation_norm,train_n,train_positive_rate,train_target_mean
allocation,1.0,16,46.59675128168108,1148,,0.1318815331010453
help,0.9999999999999999,16,46.59675128168108,1148,0.6027874564459931,
hurt,0.9999999999999999,16,46.59675128168108,1148,0.3588850174216028,
neg_help,0.9999999999999999,16,46.59675128168108,1148,0.6027874564459931,
neg_hurt,0.9999999999999999,16,46.59675128168108,1148,0.3588850174216028,
negative_mass,1.0,16,46.59675128168108,1148,,0.05905923344947735
pairwise,1.0,16,46.59675128168108,3246,0.5,
positive_mass,1.0,16,46.59675128168108,1148,,0.19094076655052264
random,1.0,16,46.59675128168108,0,,
random2,0.9999999999999999,16,46.59675128168108,0,,
random3,1.0,16,46.59675128168108,0,,
