model,term,coef,cluster_se,t,p_normal,n,clusters,r2
main_target_delta,const,-0.033988921161475276,0.019513054851651345,-1.7418554613758426,0.08153373907290051,1873,50,0.1234986687854448
main_target_delta,signed_strength,0.18246566224907312,0.04891221120475381,3.7304725702390487,0.00019112095118556383,1873,50,0.1234986687854448
main_target_delta,random_strength,-0.02843901917971993,0.03897592310060674,-0.7296560778384032,0.4656004350686227,1873,50,0.1234986687854448
main_target_delta,baseline_allocation,-0.41415007020512407,0.11111879305675067,-3.727092949917203,0.00019370103788762805,1873,50,0.1234986687854448
main_target_delta,top_policy,0.17738612491418468,0.06287325874257677,2.8213286294012567,0.004782518228751975,1873,50,0.1234986687854448
top_target_delta,const,0.28555975550196766,0.13245022488875652,2.1559778833279153,0.03108539217377615,931,50,0.09080084019239654
top_target_delta,signed_strength,0.23272780152941655,0.07985213531896267,2.914484385418184,0.003562766310994059,931,50,0.09080084019239654
top_target_delta,random_strength,0.018334812730531315,0.06035857244795607,0.30376485040862145,0.7613070473927803,931,50,0.09080084019239654
top_target_delta,baseline_allocation,-0.7625840807598245,0.32910684176932864,-2.317132262155524,0.020496528051600515,931,50,0.09080084019239654
bottom_target_delta,const,-0.02353976719879406,0.020608973432242276,-1.1422095950672935,0.25336690857618116,942,50,0.08848969543801044
bottom_target_delta,signed_strength,0.13299626043373605,0.06183456769769882,2.150839981350521,0.03148883215551912,942,50,0.08848969543801044
bottom_target_delta,random_strength,-0.07145993718283795,0.04465174216296026,-1.600384077334294,0.10951340521889508,942,50,0.08848969543801044
bottom_target_delta,baseline_allocation,-0.35834348554052087,0.11435693234079206,-3.1335528000404116,0.0017270384374747927,942,50,0.08848969543801044
semantic_intended_cross,const,0.1469574881971946,0.04118059025397213,3.5686105344985823,0.00035887944280244,1200,50,0.03589553053410832
semantic_intended_cross,strength,0.021428571428574343,0.08749840621725163,0.24490241999801565,0.8065319878554233,1200,50,0.03589553053410832
semantic_intended_cross,baseline_allocation,0.4521181656335224,0.21075830702271672,2.14519736858956,0.03193706992203449,1200,50,0.03589553053410832
semantic_intended_cross,top_policy,-0.30762470812802084,0.12204587712173544,-2.5205661623553133,0.011716620923610144,1200,50,0.03589553053410832
semantic_intended_cross,direction_hurt,-1.0061396160665481e-16,0.028242562411905193,-3.562494087443094e-15,0.9999999999999971,1200,50,0.03589553053410832
semantic_intended_cross,direction_neg_help,-0.01000000000000014,0.025889137806132688,-0.3862623805738063,0.6993023585725904,1200,50,0.03589553053410832
semantic_intended_cross,direction_neg_hurt,0.003333333333333067,0.014706291876795483,0.22666035471474702,0.8206878571310263,1200,50,0.03589553053410832
top_policy_middle_spillover_aggregated,const,-0.030083108157010076,6.964451047465269e-17,-431952324052287.06,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,mean_target_delta,-0.02200909560545545,1.5516385214860194e-17,-1418442201626776.0,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,direction_hurt,0.1256207785863001,7.33033640574602e-17,1713710962676009.2,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,direction_neg_help,0.09294879695823667,6.942152618143104e-17,1338904545476540.2,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,direction_neg_hurt,-0.014485986856738943,8.904878898091731e-17,-162674720482085.56,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,direction_random,0.033628603198171375,7.459327998314858e-17,450826176376322.8,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,direction_random2,0.03598921901870202,7.112985576752586e-17,505965021724854.94,0.0,7,7,1.0
top_policy_middle_spillover_aggregated,direction_random3,0.022113590628009175,7.242561587069308e-17,305328306320380.3,0.0,7,7,1.0
top_policy_middle_spillover,const,-0.04599896540930171,0.025593847734837524,-1.797266510525082,0.07229332012657541,302,50,0.12940946253089902
top_policy_middle_spillover,target_delta,-0.3123431666221028,0.06514176739997196,-4.794821803103814,1.6281949832830378e-06,302,50,0.12940946253089902
top_policy_middle_spillover,direction_hurt,0.08096883483032,0.03314211645024229,2.4430797879755826,0.014562517352054494,302,50,0.12940946253089902
top_policy_middle_spillover,direction_neg_help,0.053951429089175634,0.03385760121038524,1.593480552680943,0.11105242762993361,302,50,0.12940946253089902
top_policy_middle_spillover,direction_neg_hurt,-0.012679188256945065,0.03173904557903928,-0.3994823418798233,0.689537832296268,302,50,0.12940946253089902
top_policy_middle_spillover,direction_random,0.011377324937252402,0.03564601730722204,0.31917520656500675,0.7495936567804948,302,50,0.12940946253089902
top_policy_middle_spillover,direction_random2,0.026881881587601714,0.036067135712105354,0.7453289832100319,0.45607286401184277,302,50,0.12940946253089902
top_policy_middle_spillover,direction_random3,-0.01760501484793403,0.03497196570697259,-0.5034036403742671,0.6146805126934944,302,50,0.12940946253089902
