intervention,direction,target_policy,strength,baseline_role,n_rows,mean_delta_allocation,mean_abs_delta_allocation,median_delta_allocation,increase_rate,decrease_rate,large_change_rate,mean_delta_borda,best_pick_gain_rate,best_pick_loss_rate
help_to_bottom,help,bottom,0.05,bottom,6,0.01479076479076478,0.01479076479076478,0.0023809523809524002,0.5,0.0,0.0,0.08333333333333333,0.0,0.0
help_to_bottom,help,bottom,0.05,middle,94,0.004795446170586416,0.04352557042078098,0.0,0.26595744680851063,0.24468085106382978,0.09574468085106383,-0.011111111111111112,0.031914893617021274,0.010638297872340425
help_to_bottom,help,bottom,0.05,top,50,-0.03438758122837632,0.05265004665726292,0.0,0.24,0.26,0.12,-0.1875,0.02,0.12
help_to_bottom,help,bottom,0.1,bottom,6,-0.04741906644080559,0.05751223414266891,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,-0.25,0.0,0.0
help_to_bottom,help,bottom,0.1,middle,94,-0.011604230840778707,0.05476844610939939,0.0,0.2978723404255319,0.3191489361702128,0.13829787234042554,-0.005952380952380952,0.0425531914893617,0.010638297872340425
help_to_bottom,help,bottom,0.1,top,50,-0.04159343303629085,0.06259865851327576,0.0,0.28,0.32,0.16,-0.26666666666666666,0.02,0.2
help_to_bottom,help,bottom,0.2,bottom,6,-0.06550912855260677,0.07410126105778278,0.0023809523809524002,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.375,0.0,0.0
help_to_bottom,help,bottom,0.2,middle,94,0.0055854921299627325,0.0700758753716935,0.0,0.24468085106382978,0.2872340425531915,0.20212765957446807,0.0,0.0425531914893617,0.010638297872340425
help_to_bottom,help,bottom,0.2,top,50,-0.05491243886415697,0.06864354046711212,0.0,0.2,0.32,0.14,-0.2558139534883721,0.02,0.26
help_to_top,help,top,0.05,bottom,50,0.028839878560177275,0.04989615105612661,0.0,0.32,0.22,0.12,0.03409090909090909,0.0,0.0
help_to_top,help,top,0.05,middle,100,0.007589707759917469,0.047845750769450864,0.0,0.3,0.24,0.1,0.028409090909090908,0.02,0.01
help_to_top,help,top,0.1,bottom,50,0.0053142853065359305,0.049480227027430976,0.0,0.36,0.22,0.08,0.1111111111111111,0.0,0.0
help_to_top,help,top,0.1,middle,100,0.002244617952748561,0.04410925814672202,0.0,0.25,0.3,0.13,-0.011111111111111112,0.03,0.01
help_to_top,help,top,0.2,bottom,50,0.01791356675758225,0.06352176000461364,0.0,0.32,0.22,0.16,0.11904761904761904,0.0,0.0
help_to_top,help,top,0.2,middle,100,-0.01768627406770665,0.052796939783015855,0.0,0.26,0.28,0.16,-0.047619047619047616,0.02,0.01
hurt_to_bottom,hurt,bottom,0.05,bottom,6,-0.050883838383838365,0.06834415584415583,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.0,0.0
hurt_to_bottom,hurt,bottom,0.05,middle,94,-0.0027911192562760515,0.05284106519888976,0.0,0.18085106382978725,0.26595744680851063,0.1276595744680851,-0.005952380952380952,0.02127659574468085,0.010638297872340425
hurt_to_bottom,hurt,bottom,0.05,top,50,-0.017311667810974058,0.04033742366281686,0.0,0.2,0.24,0.08,-0.12222222222222222,0.02,0.16
hurt_to_bottom,hurt,bottom,0.1,bottom,6,-0.05012753012753013,0.06467298467298463,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
hurt_to_bottom,hurt,bottom,0.1,middle,94,-0.002316538903755908,0.07124698154168425,0.0,0.2872340425531915,0.2872340425531915,0.18085106382978725,0.10112359550561797,0.06382978723404255,0.010638297872340425
hurt_to_bottom,hurt,bottom,0.1,top,50,-0.03375239280933759,0.05146490580905973,0.0,0.22,0.3,0.14,-0.24468085106382978,0.02,0.18
hurt_to_bottom,hurt,bottom,0.2,bottom,6,-0.06956521739130435,0.07453416149068322,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1,0.0,0.0
hurt_to_bottom,hurt,bottom,0.2,middle,94,-0.014592278306483382,0.05233462567694922,0.0,0.2978723404255319,0.2765957446808511,0.1276595744680851,0.07407407407407407,0.05319148936170213,0.010638297872340425
hurt_to_bottom,hurt,bottom,0.2,top,50,-0.0008578590914448448,0.0319157449183205,0.0,0.26,0.32,0.06,-0.1744186046511628,0.02,0.24
hurt_to_top,hurt,top,0.05,bottom,50,0.003675564580127483,0.05898462348236995,0.0,0.26,0.32,0.14,0.011627906976744186,0.0,0.0
hurt_to_top,hurt,top,0.05,middle,100,0.01586184598330259,0.06480855652936714,0.0,0.28,0.32,0.15,0.09883720930232558,0.05,0.01
hurt_to_top,hurt,top,0.1,bottom,50,0.0344681420093077,0.07655182929888259,0.0,0.32,0.26,0.18,0.06666666666666667,0.02,0.0
hurt_to_top,hurt,top,0.1,middle,100,0.013792289666865364,0.07188414838979648,0.0,0.32,0.24,0.17,0.16111111111111112,0.09,0.01
hurt_to_top,hurt,top,0.2,bottom,50,0.03058364483690055,0.08380895593635314,0.0,0.36,0.26,0.24,0.15,0.04,0.0
hurt_to_top,hurt,top,0.2,middle,100,0.06124935133479971,0.0877103395706523,0.0,0.35,0.29,0.21,0.25625,0.12,0.01
neg_help_to_bottom,neg_help,bottom,0.05,bottom,6,-0.08887163561076603,0.09125258799171843,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.125,0.0,0.0
neg_help_to_bottom,neg_help,bottom,0.05,middle,94,0.0009831897080488268,0.05297059454554027,0.0,0.24468085106382978,0.2978723404255319,0.11702127659574468,0.05813953488372093,0.031914893617021274,0.010638297872340425
