target,baseline,baseline_r2,activation_residual_r2,std_residual_r2
voter_allocation,rank_only,0.8140873606639609,-0.03570544296973688,0.039367512790983245
voter_allocation,rank_plus_length,0.8150098838128225,-0.04145526836825497,0.03441598939002265
voter_allocation,length_only,0.07721081586092941,0.10176350743271809,0.04412695061035124
voter_allocation_z,rank_only,0.949532218466619,0.0029425622152375206,0.017093727591721914
voter_allocation_z,rank_plus_length,0.9495160492827406,0.003456925786821574,0.01690453171398354
voter_allocation_z,length_only,0.10744895954101326,0.11871746959651971,0.03604455230398265
voter_positive_mass,rank_only,0.8329908779707822,-0.04011992128899222,0.026779708323948083
voter_positive_mass,rank_plus_length,0.8338521741017049,-0.04701223594099204,0.02416744575825168
voter_positive_mass,length_only,0.07753624199448157,0.11476171376528517,0.05204672826096281
voter_negative_mass,rank_only,0.48571380795294966,-0.006302829806512311,0.034187573153181876
voter_negative_mass,rank_plus_length,0.48598766790907993,-0.006814647910884264,0.03368235046221859
voter_negative_mass,length_only,0.04580833610669781,0.046274365634011994,0.03510055192107418
