prompt_id,evaluator_id,layer_index,mean_distance_to_self_answer,min_distance_to_self_answer,max_distance_to_self_answer,distance_to_self_spread,mean_distance_to_centroid,allocation_spread,negative_mass_sum,positive_mass_sum
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,17.73046112060547,14.71475887298584,19.716365814208984,5.0016069412231445,8.15412425994873,0.55,0.25,0.75
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.745738983154297,13.894643783569336,19.206348419189453,5.311704635620117,8.644190788269043,0.6,0.25,0.75
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,16,18.29608154296875,12.4725341796875,20.925464630126953,8.452930450439453,8.475268363952637,0.7,0.4,0.6
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,16,17.755905151367188,13.372651100158691,20.86320686340332,7.490555763244629,8.801493644714355,0.6,0.3,0.7
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,16,22.691417694091797,16.474910736083984,27.626144409179688,11.151233673095703,11.712440490722656,0.35,0.0,0.9999999999999999
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,16,20.66652488708496,16.480451583862305,24.53020477294922,8.049753189086914,11.802229881286621,0.65,0.2,0.8
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,16,20.921009063720703,16.289640426635742,24.442733764648438,8.153093338012695,11.802229881286621,0.85,0.4,0.6
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,16,21.058862686157227,18.93314552307129,22.64556121826172,3.7124156951904297,11.984160423278809,0.75,0.3,0.7
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.56158447265625,13.004213333129883,16.90498924255371,3.900775909423828,8.993099212646484,0.6000000000000001,0.30000000000000004,0.7
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.28546714782715,14.981783866882324,17.531700134277344,2.5499162673950195,9.313671112060547,0.6,0.15,0.85
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,16,15.105171203613281,11.720526695251465,16.7746639251709,5.054137229919434,9.719502449035645,0.6,0.25,0.75
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,16,16.602306365966797,15.020454406738281,17.635812759399414,2.615358352661133,9.313671112060547,0.6,0.25,0.75
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,16,17.411991119384766,12.616222381591797,22.84977149963379,10.233549118041992,10.92745590209961,0.85,0.4,0.6
p004,Qwen/Qwen2.5-7B-Instruct::normal_02,16,17.892026901245117,11.910165786743164,22.2554988861084,10.345333099365234,10.594588279724121,0.6,0.25,0.75
p004,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.58760643005371,14.794270515441895,20.88447380065918,6.090203285217285,10.652578353881836,0.6,0.25,0.75
p005,Qwen/Qwen2.5-7B-Instruct::normal_02,16,14.450910568237305,13.397841453552246,16.9615535736084,3.5637121200561523,9.03810977935791,0.6,0.25,0.75
p005,Qwen/Qwen2.5-7B-Instruct::normal_03,16,13.892735481262207,12.405138969421387,17.036283493041992,4.6311445236206055,9.305041313171387,0.5,0.05,0.95
p005,Qwen/Qwen2.5-7B-Instruct::normal_04,16,14.80277156829834,9.339516639709473,19.645856857299805,10.306340217590332,8.800349235534668,0.4,0.0,1.0
p006,Qwen/Qwen2.5-7B-Instruct::normal_01,16,20.591550827026367,13.516485214233398,35.08922576904297,21.57274055480957,16.160898208618164,0.6,0.3,0.7
p006,Qwen/Qwen2.5-7B-Instruct::normal_02,16,21.198680877685547,15.738720893859863,35.194454193115234,19.455734252929688,15.230268478393555,0.7,0.4,0.6
