layer_index,layer_position,feature_family,feature_dim,target,kind,n_folds,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_balanced_accuracy,std_balanced_accuracy,mean_chosen_c,std_chosen_c,mean_chosen_alpha,std_chosen_alpha,mean_r2,std_r2,mean_rmse,std_rmse
16,0,candidate_activation,3584,voter_help_label,classification,5,0.6671260493892073,0.014551115788971173,0.7071356335046719,0.022885750285089875,0.6672176941811927,0.02354145785638333,0.001,0.0,,,,,,
16,0,candidate_activation,3584,voter_hurt_label,classification,5,0.6848615507299719,0.020161748092659575,0.7400999113635203,0.02211889164554089,0.6885355565015816,0.026831300835878376,0.001,0.0,,,,,,
16,0,candidate_activation,3584,voter_signed_top_choice,classification,5,0.7622645775277354,0.044484775043054904,0.8211807550016765,0.040965187621813746,0.734520293614568,0.04929326352158426,0.001,0.0,,,,,,
16,0,candidate_activation,3584,voter_best_pick_vote,classification,5,0.7048921955237744,0.031354931431322945,0.7715993069345986,0.03614396624795996,0.6833632449421924,0.033709511719973384,0.001,0.0,,,,,,
16,0,candidate_activation,3584,voter_allocation,regression,5,,,,,,,,,10000.0,0.0,0.17985271674089326,0.06538795751534877,0.22892343931834103,0.013758194735040745
16,0,candidate_activation,3584,voter_allocation_centered,regression,5,,,,,,,,,10000.0,0.0,0.21412691814903395,0.07058037121595127,0.21405070756816452,0.01434068635906987
16,0,candidate_activation,3584,voter_allocation_z,regression,5,,,,,,,,,10000.0,0.0,0.2290925847021356,0.07993072853225157,0.7593777846911611,0.03906330235582887
16,0,candidate_activation,3584,voter_positive_mass,regression,5,,,,,,,,,10000.0,0.0,0.18938682852830327,0.08046960254794333,0.16396672646818583,0.009595403941075942
16,0,candidate_activation,3584,voter_negative_mass,regression,5,,,,,,,,,10000.0,0.0,0.11082018263180662,0.027390689664646594,0.08408998982436275,0.008038690964820287
16,0,candidate_activation,3584,voter_signed_abs_share,regression,5,,,,,,,,,10000.0,0.0,0.15817991946152016,0.08558104905063309,0.124671799816097,0.009355482868846752
16,0,candidate_activation,3584,voter_allocation_rank,regression,5,,,,,,,,,10000.0,0.0,0.2443402977562319,0.08865365215820357,0.9549424981434168,0.05396937541257217
16,0,candidate_activation,3584,voter_borda_points,regression,5,,,,,,,,,10000.0,0.0,0.13985166057584508,0.07048538422532453,1.005235816663785,0.038960011028917545
16,0,candidate_activation,3584,voter_borda_points_centered,regression,5,,,,,,,,,10000.0,0.0,0.1398516585568739,0.07048538305516303,1.0052358178773944,0.03896001024642912
16,0,candidate_activation,3584,voter_borda_points_z,regression,5,,,,,,,,,10000.0,0.0,0.13972004923495643,0.07076170326526122,0.802578560971949,0.03282707026188154
16,0,candidate_minus_self_activation,3584,voter_help_label,classification,5,0.6683912403386086,0.014108226175897588,0.7101133208331938,0.02362963490203725,0.6673210375931068,0.026607721544732083,0.001,0.0,,,,,,
16,0,candidate_minus_self_activation,3584,voter_hurt_label,classification,5,0.702786923602713,0.02071949389148265,0.7473487032339079,0.01958860091256666,0.7023492116261152,0.0269018576169821,0.001,0.0,,,,,,
16,0,candidate_minus_self_activation,3584,voter_signed_top_choice,classification,5,0.7623817585922849,0.02706922250447632,0.8238633246480467,0.03938248477533629,0.7348950728409489,0.03666085557755869,0.001,0.0,,,,,,
16,0,candidate_minus_self_activation,3584,voter_best_pick_vote,classification,5,0.711420334051913,0.030323844097624772,0.7762475711276886,0.03472748898910934,0.6883091294670243,0.031075771455028867,0.001,0.0,,,,,,
16,0,candidate_minus_self_activation,3584,voter_allocation,regression,5,,,,,,,,,10000.0,0.0,0.19678673605583852,0.05836464705212117,0.22657985039901368,0.013223423944560225
16,0,candidate_minus_self_activation,3584,voter_allocation_centered,regression,5,,,,,,,,,10000.0,0.0,0.2252251790147096,0.057944913057525034,0.21256954779932102,0.01279656136103359
16,0,candidate_minus_self_activation,3584,voter_allocation_z,regression,5,,,,,,,,,10000.0,0.0,0.24191390243982883,0.06330622952222825,0.7533785498291947,0.03139002751492802
16,0,candidate_minus_self_activation,3584,voter_positive_mass,regression,5,,,,,,,,,10000.0,0.0,0.20652010444522703,0.07198991573357201,0.16224633713475503,0.008775493587842525
16,0,candidate_minus_self_activation,3584,voter_negative_mass,regression,5,,,,,,,,,10000.0,0.0,0.1171140569529083,0.02323731284822057,0.08381276394479825,0.008229788698156555
16,0,candidate_minus_self_activation,3584,voter_signed_abs_share,regression,5,,,,,,,,,10000.0,0.0,0.16652781488255103,0.07864360915483094,0.12406906254714867,0.008942324991653917
16,0,candidate_minus_self_activation,3584,voter_allocation_rank,regression,5,,,,,,,,,10000.0,0.0,0.2603553144112544,0.07017753366914414,0.9453311876790961,0.04321397566492395
16,0,candidate_minus_self_activation,3584,voter_borda_points,regression,5,,,,,,,,,10000.0,0.0,0.14631077816473886,0.06421675266366553,1.0015886746040379,0.03534552099526181
16,0,candidate_minus_self_activation,3584,voter_borda_points_centered,regression,5,,,,,,,,,10000.0,0.0,0.14631077750482338,0.06421675425614504,1.001588674953881,0.03534552184765994
16,0,candidate_minus_self_activation,3584,voter_borda_points_z,regression,5,,,,,,,,,10000.0,0.0,0.14620500593091051,0.06473549539756936,0.7996488187118542,0.030133242184559945
16,0,candidate_plus_self_delta_activation,7168,voter_help_label,classification,5,0.6683914506546086,0.014022649445162462,0.7092684658249697,0.02281229681749288,0.6625612672733496,0.023744888902250415,0.001,0.0,,,,,,
