layer,coord,logistic_c,repeats,raw_help_hurt_cosine,mean_help_reliability,std_help_reliability,mean_hurt_reliability,std_hurt_reliability,mean_cross_half_cosine,std_cross_half_cosine,mean_corrected_cosine,median_corrected_cosine,std_corrected_cosine,min_corrected_cosine,max_corrected_cosine,n_valid_corrections,n_invalid_corrections
16,standardized,0.01,50,-0.9087539534380848,0.08191081205223082,0.015548450021732597,0.09808734418746083,0.016430995371903467,-0.08992850702617236,0.015429141852987915,-1.0050199847560908,-1.0048434832005664,0.020480299009758732,-1.0591336501533883,-0.9609023590246915,50,0
16,raw_activation,0.01,50,-0.9102413335107354,0.0855404348948517,0.018174439590155373,0.11071702139041328,0.018761423578295067,-0.0992508372549768,0.017555566855987022,-1.0237474717843853,-1.0232260121531684,0.022465614691126304,-1.09780706219302,-0.9816644191030439,50,0
16,standardized,0.03,50,-0.9075630552952829,0.057905603121304265,0.01352063249795016,0.06492311888049775,0.015927363362593164,-0.06191541573308548,0.014011738926154007,-1.0140433779190463,-1.0133383312556996,0.031609695478416924,-1.1314810654696732,-0.9534156054438798,50,0
16,raw_activation,0.03,50,-0.9078125805550447,0.053678649542807946,0.016816231408009398,0.06776807495888697,0.01826132443485736,-0.06241598444786081,0.01655879538983401,-1.0477132748986882,-1.0368009386897152,0.045459862672774194,-1.1854156005970629,-0.9823450776750682,50,0
16,standardized,0.1,50,-0.9061890654328103,0.03835534484387292,0.013671533958966796,0.04282105181296911,0.01641385766671617,-0.04154646037473718,0.014273673449863411,-1.0439125936397742,-1.028110889175811,0.06687265792735607,-1.3190853488583232,-0.9441319061203713,50,0
16,raw_activation,0.1,50,-0.9054939900883083,0.02707739696590776,0.017887730169045227,0.03638272636647553,0.019179132459147583,-0.033682479311855126,0.01772120640071404,-1.138031839079168,-1.0828417440721831,0.24297611040208944,-2.616451270123324,-0.8665656286787509,47,3
16,standardized,0.3,50,-0.9062125422422731,0.026632201285197273,0.014459028550273785,0.03181418354167516,0.016781663742348314,-0.03043243205406283,0.014845795540375774,-1.2919553660818053,-1.0503647169354404,1.3967210765770497,-10.800449795153742,-0.900340952073785,48,2
16,raw_activation,0.3,50,-0.9050383842014982,0.011964098856438444,0.01918942782825066,0.02038206487316875,0.019983049331717632,-0.018138580623510203,0.01893288275412664,-1.2202302104546265,-1.1211897590620992,0.2923637081396981,-2.287866311669672,-0.9351973578430848,36,14
16,standardized,1.0,50,-0.9068886447075905,0.01994337764974617,0.015208783872232918,0.02614892098066953,0.016805945338727063,-0.024374695069567767,0.015245683948553187,-1.1302982890558726,-1.0768953907977905,0.1738062133257582,-1.848716384633726,-0.929446887285929,45,5
16,raw_activation,1.0,50,-0.9052109872850254,0.0038577550969584816,0.02009683430887899,0.01213360390237895,0.020356918785559418,-0.009862967425255668,0.019601611045565803,-1.4237046650324345,-1.1526546438559178,0.8542533471089723,-5.580125294260056,-0.9046013468023262,27,23
